Provinsi;Jumlah Kendaraan Bermotor - Mobil Penumpang;"Jumlah Kendaraan 
Bermotor - Bus";Jumlah Kendaraan Bermotor - Truk;Jumlah Kendaraan Bermotor - Sepeda Motor;"Jumlah Kendaraan 
Bermotor - Jumlah"
Aceh;212.271;2.788;79.745;2.475.524;2.770.328
Bali;544.640;15.981;188.199;4.528.746;5.277.566
Banten;1.039.527;12.578;246.480;7.180.120;8.478.705
Bengkulu;129.846;963;56.332;1.073.059;1.260.200
DI Yogyakarta;392.241;4.529;74.973;2.868.505;3.340.248
DKI Jakarta;2.333.391;36.381;520.051;9.167.512;12.057.335
Gorontalo;43.116;379;32.626;490.219;566.340
Jambi;213.927;33.680;149.487;2.450.780;2.847.874
Jawa Barat;2.965.471;34.520;756.257;23.348.676;27.104.924
Jawa Tengah;1.683.498;38.024;685.334;19.154.994;21.561.850
Jawa Timur;5.544.750;45.193;797.226;19.571.995;25.959.164
Kalimantan Barat;195.794;1.844;124.815;2.978.605;3.301.058
Kalimantan Selatan;276.122;3.946;162.845;2.770.194;3.213.107
Kalimantan Tengah;134.107;1.890;90.888;1.560.623;1.787.508
Kalimantan Timur;348.451;7.480;225.925;3.043.787;3.625.643
Kalimantan Utara;23.544;247;16.154;265.242;305.187
Kepulauan Bangka Belitung;97.855;1.276;52.506;1.090.482;1.242.119
Kepulauan Riau;232.978;2.571;40.199;1.313.271;1.589.019
Lampung;349.498;3.570;198.307;3.712.419;4.263.794
Maluku;31.569;522;16.627;366.080;414.798
Maluku Utara;26.466;189;16.489;358.309;401.453
Nusa Tenggara Barat;123.894;3.058;93.926;2.108.928;2.329.806
Nusa Tenggara Timur;75.317;3.385;69.703;1.004.308;1.152.713
Papua;105.545;1.730;54.050;808.783;970.108
Papua Barat;39.069;438;20.255;351.274;411.036
Riau;451.849;6.027;246.488;4.061.792;4.766.156
Sulawesi Barat;28.280;94;18.490;414.147;461.011
Sulawesi Selatan;631.062;5.781;239.266;4.507.930;5.384.039
Sulawesi Tengah;118.953;1.113;63.778;1.364.744;1.548.588
Sulawesi Tenggara;198.262;396;53.837;995.935;1.248.430
Sulawesi Utara;166.580;1.663;78.625;947.982;1.194.850
Sumatera Barat;382.896;4.719;131.825;2.564.210;3.083.650
Sumatera Selatan;456.941;7.252;349.009;3.597.011;4.410.213
Sumatera Utara;846.797;9.784;326.686;6.953.827;8.137.094
;;;;;
